Name,Nationality
Reynet,France
Pozuelo,Spain
Trebel,France
Lascelles,England
Kongolo,Netherlands
Carrillo,Peru
Álvaro,Spain
Defrel,France
Fernando,Brazil
Darida,Czech Republic
Saponara,Italy
Mendes,Portugal
Schindler,Germany
Chadli,Belgium
Arbilla,Spain
Dunk,England
Hernández,Chile
Guidetti,Sweden
Gómez,Spain
Romeu,Spain
Pérez,Spain
Natcho,Israel
Ramos,Portugal
Lejeune,France
Krychowiak,Poland
Lodeiro,Uruguay
Özyakup,Turkey
Tévez,Argentina
Papadopoulos,Greece
Gradel,Ivory Coast
Debuchy,France
Moses,Nigeria
Junuzović,Austria
Granero,Spain
Baumgartlinger,Austria
Coentrão,Portugal
Costil,France
Hilton,Brazil
Gudelj,Serbia
Pratto,Argentina
Hernández,Mexico
Jurado,Spain
Cabella,France
Tolói,Brazil
Bravo,Chile
Hernanes,Brazil
Honda,Japan
Dzyuba,Russia
Holebas,Greece
García,Spain
Sergio,Spain
Cáceres,Uruguay
Carriço,Portugal
Cork,England
Tomkins,England
Guilherme,Russia
Gervinho,Ivory Coast
Shelvey,England
Eremenko,Finland
Vormer,Netherlands
Lens,Netherlands
Adriano,Brazil
Cook,England
Podolski,Germany
Ansaldi,Argentina
García,Spain
Alessandrini,France
Ward-Prowse,England
Harnik,Austria
Moukandjo,Cameroon
Pereiro,Uruguay
Castro,Germany
Martín,Spain
Johnson,United States
López,Argentina
Dossevi,Togo
Caiuby,Brazil
Gabriel,Brazil
Ramis,Spain
Suchý,Czech Republic
Vilhena,Netherlands
Çolak,Turkey
Germain,France
Hoarau,France
García,Spain
Choupo-Moting,Cameroon
Pinola,Argentina
Hendrix,Netherlands
Izquierdo,Colombia
Sydorchuk,Ukraine
Grenier,France
Strobl,Germany
Odjidja-Ofoe,Belgium
Guzmán,Argentina
Fabra,Colombia
Maddison,England
Ahmadi,Morocco
Carcela-González,Morocco
Gabbiadini,Italy
Gomes,Brazil
Ritchie,Scotland
Bou,Argentina
Fuego,Spain
Akbaba,Turkey
Amavi,France
Malinovskyi,Ukraine
Welbeck,England
Conti,Argentina
Bruno,Spain
Rodrigues,Cape Verde
Schwolow,Germany
Cook,England
Pérez,Argentina
Gazzolisco,Brazil
Soriano,Spain
Peña,Spain
José,Spain
Groß,Germany
Baines,England
Ogbonna,Italy
Jesus,Brazil
Martínez,Colombia
Elvedi,Switzerland
Moreno,Colombia
Valdivia,Chile
Carroll,England
Neto,Portugal
Pyatov,Ukraine
Gutiérrez,Colombia
Remiro,Spain
Eduardo,Portugal
Meré,Spain
Elneny,Egypt
Torres,Colombia
Bounou,Morocco
Prijović,Serbia
Jahanbakhsh,Iran
Calleri,Argentina
Acunha,Brazil
Müller,Germany
Ocampos,Argentina
Rodriguez,England
Ibišević,Bosnia Herzegovina
Rondón,Venezuela
Sánchez,Spain
Suárez,Uruguay
Huntelaar,Netherlands
Dubois,France
Pinto,Portugal
Lala,France
Kıvrak,Turkey
Bertolacci,Italy
Giaccherini,Italy
Živković,Serbia
Ábila,Argentina
Diop,Senegal
Garmash,Ukraine
Chandler,United States
Klavan,Estonia
Miranchuk,Russia
Silva,France
Benaglio,Switzerland
Rincón,Venezuela
Pereira,Uruguay
Borges,Costa Rica
Sand,Argentina
Bergara,Spain
Love,Brazil
Bourigeaud,France
Soriano,Italy
Kuzyaev,Russia
Sambueza,Argentina
Montoya,Spain
Poli,Italy
Austin,England
Tonelli,Italy
Zárate,Argentina
Sancho,England
Basta,Serbia
Marçal,Brazil
Munir,Spain
Sio,Ivory Coast
McCarthy,Republic of Ireland
Aquino,Mexico
Pérez,Paraguay
Jô,Brazil
Gurtner,France
Sánchez,Colombia
Sissoko,France
Anton,Germany
Skhiri,Tunisia
Vezo,Portugal
Molina,Spain
Hasebe,Japan
Schürrle,Germany
Ighalo,Nigeria
Acosta,Argentina
Babacan,Turkey
Aguilar,France
Yeray,Spain
Defoe,England
Schøne,Denmark
Ünder,Turkey
Dabbur,Israel
Roberto,Spain
Djaniny,Cape Verde
Wallace,Brazil
Obiang,Equatorial Guinea
Heintz,Germany
Mukiele,France
Vermaelen,Belgium
Abate,Italy
Llorente,Spain
Wood,New Zealand
Formosandrinho,Brazil
Pulgar,Chile
Vasin,Russia
Grifo,Italy
Turan,Turkey
Santos,Mexico
Schwaab,Germany
Schmelzer,Germany
Spinazzola,Italy
Dragović,Austria
Pröpper,Netherlands
Inglese,Italy
Marchesín,Argentina
Paul,Argentina
Gentner,Germany
Murray,England
Carioca,Brazil
McCarthy,England
Chichizola,Argentina
Zakaria,Switzerland
Dzhikiya,Russia
Castillo,Chile
Origi,Belgium
Yokuşlu,Turkey
Cheryshev,Russia
Selke,Germany
Wendell,Brazil
Layún,Mexico
Sabaly,Senegal
Cutrone,Italy
Marchetti,Italy
Cyprien,France
Paletta,Italy
Caicedo,Ecuador
Masip,Spain
Espinosa,Colombia
Benassi,Italy
Jagielka,England
Kucka,Slovakia
Brady,Republic of Ireland
Szymanowski,Argentina
Reid,New Zealand
Cédric,Portugal
Civelli,Argentina
Loftus-Cheek,England
Maio,France
Brown,Scotland
Mitrović,Serbia
Skjelbred,Norway
Cvitanich,Argentina
Lasagna,Italy
Palacio,Argentina
Wolf,Germany
Gigliotti,Argentina
Jørgensen,Denmark
Laguardia,Spain
Lukaku,Belgium
Augustin,France
Diakhaby,France
Douglas,Brazil
Pejčinović,Serbia
de,Netherlands
Iglesias,Spain
Shibasaki,Japan
Hughes,England
Boufal,Morocco
Kehrer,Germany
Lang,Switzerland
Gutiérrez,Mexico
Upamecano,France
Jefferson,Brazil
Benítez,Argentina
Bardhi,FYR Macedonia
Mbodji,Senegal
Sarr,France
Ferreyra,Argentina
Danilo,Brazil
Ayew,Ghana
Mitroglou,Greece
Villar,Paraguay
Herrmann,Germany
Costa,Germany
Fischer,Denmark
Wesley,Brazil
Ginczek,Germany
Kostić,Serbia
Fraser,Scotland
Cote,Spain
Winks,England
Mbabu,Switzerland
Hinteregger,Austria
Acosta,Argentina
Sidcley,Brazil
Jørgensen,Denmark
Fabián,Mexico
Eduardo,Brazil
Castro,Spain
Augustinsson,Sweden
Aziz,Turkey
Ochoa,Mexico
Hetemaj,Finland
André,Portugal
Júnior,Brazil
Džemaili,Switzerland
Juanpe,Spain
Fortounis,Greece
Vorm,Netherlands
Oczipka,Germany
Bentancur,Uruguay
Hernández,France
Lowton,England
Diop,France
André,France
Piccini,Italy
Paulinho,Portugal
Diawara,Guinea
Berchiche,Spain
Sá,Portugal
Kamano,Guinea
Cartabia,Argentina
Ünal,Turkey
Radovanović,Serbia
Ribeiro,Brazil
Jony,Spain
Buonanotte,Argentina
Pina,Spain
Pallois,France
Latza,Germany
Belluschi,Argentina
Abdulrahman,United Arab Emirates
Trejo,Argentina
Barella,Italy
Angeliño,Spain
Vieirundinho,Brazil
Orellana,Chile
Grillitsch,Austria
Ortíz,Paraguay
Viana,Brazil
Maidana,Argentina
Mori,Argentina
Kohr,Germany
Higuaín,Argentina
Barák,Czech Republic
Andone,Romania
Adrián,Spain
González,Costa Rica
Otávio,Brazil
Janmaat,Netherlands
Mori,Argentina
Schick,Czech Republic
Vidal,Spain
Schöpf,Austria
Boly,France
Moreno,Spain
Villanueva,Chile
Weiser,Germany
Escalante,Argentina
Holgate,England
Hopf,Sweden
Zurutuza,France
Juanmi,Spain
Gibbs,England
Fernández,Argentina
Kalinić,Croatia
Radoja,Serbia
Blandi,Argentina
Juncà,Spain
Lei,China PR
Boschilia,Brazil
Medeiros,Portugal
Phillips,Scotland
Cuéllar,Spain
Lössl,Denmark
Suárez,Spain
Bony,Ivory Coast
Doumbia,Ivory Coast
Reyes,Mexico
Bernat,Spain
Behrami,Switzerland
Langkamp,Germany
Sosa,Argentina
Touré,France
Jesé,Spain
Ings,England
Esser,Germany
Acheampong,Ghana
Knoche,Germany
Vlachodimos,Greece
Denayer,Belgium
Rode,Germany
Wendel,Brazil
Nagy,Hungary
Semedo,Guinea Bissau
Barnes,Austria
Kardec,Brazil
Marcelo,Brazil
Boateng,Ghana
Dalbert,Brazil
Halilović,Croatia
Popov,Bulgaria
Cleverley,England
Livaja,Croatia
Uribe,Colombia
Bargfrede,Germany
Jankto,Czech Republic
Firpo,Spain
D'Ambrosio,Italy
Boyko,Ukraine
Díaz,Chile
Vokes,Wales
Héldon,Cape Verde
Hermoso,Spain
Bartels,Germany
Malcuit,France
Marin,Romania
Pérez,Spain
Moraes,Brazil
Berisha,Kosovo
Freuler,Switzerland
Ganso,Brazil
Gómez,Spain
Pašalić,Croatia
Hugo,Brazil
Fornaroli,Uruguay
Snodgrass,Scotland
Geraldes,Portugal
Ordets,Ukraine
Santon,Italy
Niang,Senegal
Wendt,Sweden
Riveros,Paraguay
Benković,Croatia
Torres,Colombia
Noble,England
Rashica,Kosovo
Benteke,Belgium
Rômulo,Italy
Pabón,Colombia
Embarba,Spain
Kerbrat,France
Teodorczyk,Poland
Baia,Brazil
Seijalbo,Brazil
